date_time	MAX_CORR_1	MAX_CORR_2	MIN_CORR_1	MIN_CORR_2	MAX_DEL_1	MAX_DEL_2	MIN_DEL_1	MIN_DEL_2	MEAN	STD	MAX_WEI_1	MAX_WEI_2	MIN_WEI_1	MIN_WEI_2
1949.54415	3.02737	2.10897	2.59630	2.04539	1.33527	0.21639	-2.39005	3.05678	-0.00014	0.08932	0.01477	0.01137	0.01376	0.00973
1949.57153	2.99527	2.10252	2.60337	2.04611	-0.88704	0.78421	-0.75090	-0.55789	-0.00033	0.09096	0.01393	0.01072	0.01312	0.00981
1949.59890	2.99422	2.10693	2.60523	2.01894	-0.57534	-0.19392	-3.06310	3.99358	-0.00026	0.09104	0.01390	0.01016	0.01315	0.00950
1949.62628	3.01157	2.09792	2.60121	1.99240	-0.89988	-1.48866	-1.63252	2.74759	0.00004	0.09182	0.01353	0.01062	0.01304	0.01073
1949.65366	3.01005	2.09324	2.58186	1.98228	-0.44101	0.05588	-3.39737	6.42667	0.00031	0.09209	0.01340	0.01061	0.01268	0.01053
1949.68104	2.98148	2.09940	2.56830	1.96310	1.01435	-5.58698	-3.70957	4.21208	0.00045	0.09257	0.01374	0.00999	0.01265	0.01032
1949.70842	2.97043	2.09771	2.58015	1.96796	2.38995	-7.45867	-7.59751	7.28521	0.00024	0.09250	0.01392	0.00978	0.01271	0.01028
1949.73580	2.98173	2.09249	2.58104	1.97071	4.25973	-6.12590	-6.76475	9.68168	-0.00008	0.09285	0.01362	0.00998	0.01247	0.00994
1949.76318	2.98696	2.05458	2.59592	1.96120	5.15821	-6.76114	-9.42175	10.95455	-0.00006	0.09376	0.01299	0.00996	0.01221	0.00982
1949.79055	2.97209	2.05564	2.58900	1.95562	4.47462	-8.56250	-11.68309	10.02689	0.00020	0.09440	0.01259	0.00992	0.01244	0.01024
1949.81793	2.98284	2.03711	2.57826	1.95545	4.67857	-10.18178	-9.12440	10.01154	0.00009	0.09497	0.01225	0.00876	0.01231	0.01086
1949.84531	2.99822	2.02882	2.58416	1.96046	5.49398	-8.43890	-6.65229	6.63182	0.00011	0.09483	0.01235	0.00898	0.01306	0.01066
1949.87269	2.98172	2.02054	2.58932	1.95781	5.89125	-7.04334	-6.26756	7.10895	0.00005	0.09505	0.01241	0.00894	0.01266	0.01065
1949.90007	2.93767	2.04409	2.59470	1.97779	4.73826	-5.31922	-5.86487	4.06160	0.00001	0.09508	0.01247	0.00859	0.01297	0.01057
1949.92745	2.90977	2.04550	2.61827	2.00120	-0.10082	-3.21348	-4.03511	1.19502	0.00018	0.09528	0.01265	0.00907	0.01330	0.01015
1949.95483	2.96220	2.01816	2.62103	1.98852	0.93399	-3.78762	-2.71248	2.47000	-0.00027	0.09547	0.01275	0.00929	0.01253	0.01031
1949.98220	2.97093	2.04008	2.63481	2.00976	-0.59912	-2.02558	-2.13583	1.81621	-0.00102	0.09544	0.01214	0.00854	0.01237	0.00990
1956.00548	2.79253	1.81075	2.47124	1.78729	-1.59460	-4.56431	-16.52398	16.72422	-0.00243	0.11173	0.01281	0.00926	0.01255	0.00947
1956.03285	2.80214	1.82761	2.49564	1.80492	0.17125	-4.67024	-16.05006	15.29946	-0.00318	0.11156	0.01301	0.00936	0.01262	0.00986
1956.06023	2.82175	1.81115	2.50787	1.81600	-0.24167	-6.06852	-17.23184	15.22843	-0.00320	0.11077	0.01316	0.00924	0.01220	0.00927
1956.08761	2.82695	1.81784	2.49547	1.81548	0.02418	-10.02849	-18.70576	16.66051	-0.00303	0.11084	0.01282	0.00935	0.01214	0.00920
1956.11499	2.84146	1.82632	2.49013	1.79506	-4.62560	-5.36888	-18.65459	19.61968	-0.00173	0.10908	0.01277	0.00946	0.01261	0.00918
1956.14237	2.87384	1.76837	2.46998	1.74515	-3.99368	-4.07965	-20.05558	20.20175	-0.00008	0.10733	0.01284	0.00890	0.01258	0.00891
1956.16975	2.88036	1.75099	2.46110	1.73210	-4.87580	-5.11447	-21.94352	23.64597	0.00011	0.10681	0.01264	0.00956	0.01252	0.00880
1956.19713	2.87232	1.75416	2.46797	1.75248	-0.52157	-7.29444	-21.53551	23.24639	-0.00016	0.10766	0.01269	0.00967	0.01292	0.00949
1956.22450	2.85110	1.76367	2.47999	1.77819	0.37420	-12.13945	-13.84009	18.79856	-0.00035	0.10766	0.01274	0.00950	0.01318	0.00992
1956.25188	2.82650	1.75966	2.47730	1.77420	0.93379	-13.08056	-13.46699	16.94773	-0.00018	0.10828	0.01268	0.01014	0.01295	0.00957
