date_time	NINO3
1955.88	-1.71
1955.96	-1.34
1956.08	-1.04
1956.16	-0.65
1956.24	-0.16
1956.32	-0.36
1956.40	-0.52
1956.48	-0.45
1956.56	-0.38
1956.64	-0.41
1956.72	-0.54
1956.80	-0.51
1956.88	-0.83
1956.96	-0.82
1957.08	-0.93
1957.16	-0.08
1957.24	0.64
1957.32	0.69
1957.40	1.18
1957.48	1.30
1957.56	1.48
1957.64	1.22
1957.72	1.02
1957.80	1.00
1957.88	1.04
1957.96	1.16
1969.08	0.31
1969.16	0.25
1969.24	0.68
1969.32	0.84
1969.40	1.27
1969.48	1.14
1969.56	0.53
1969.64	0.53
1969.72	0.67
1969.80	0.89
1969.88	0.90
1969.96	0.94
1970.08	0.78
1970.16	0.04
1970.24	-0.32
1970.32	-0.40
1970.40	-0.73
1970.48	-0.96
1970.56	-1.64
1970.64	-1.34
1970.72	-0.92
1970.80	-0.70
1970.88	-0.94
1970.96	-0.98
1971.08	-0.95
1971.16	-1.19
1971.24	-0.84
1971.32	-0.27
1971.40	-0.61
1971.48	-0.60
1971.56	-0.42
1971.64	-0.75
1971.72	-0.59
1971.80	-0.78
1971.88	-0.78
1971.96	-0.83
1986.08	-0.51
1986.16	-0.26
1986.24	-0.44
1986.32	-0.44
1986.40	-0.45
1986.48	-0.37
1986.56	0.08
1986.64	0.05
1986.72	0.21
1986.80	0.60
1986.88	0.77
1986.96	0.75
1987.08	1.05
1987.16	1.06
1987.24	1.16
1987.32	1.20
1987.40	1.31
1987.48	1.01
1987.56	1.28
1987.64	1.22
1987.72	1.49
1987.80	1.28
1987.88	1.07
1987.96	1.09
1988.08	0.47
1988.16	-0.03
1988.24	-0.05
1988.32	-0.78
1988.40	-1.12
1988.48	-1.80
1988.56	-1.58
1988.64	-1.34
1988.72	-1.30
1988.80	-1.32
1988.88	-1.11
1988.96	-1.23
1989.08	-0.76
1989.16	-0.37
1989.24	-0.82
1989.32	-0.57
1989.40	-0.73
1989.48	-0.41
1989.56	-0.24
1989.64	-0.44
1989.72	-0.29
1989.80	-0.24
1989.88	-0.33
1989.96	-0.29
1990.08	-0.24
1990.16	0.14
1990.24	-0.14
1990.32	0.11
1990.40	0.21
1990.48	0.04
1990.56	-0.23
1990.64	-0.07
1990.72	0.10
1990.80	-0.11
1990.88	-0.06
1990.96	0.00
1991.08	0.17
1991.16	0.13
1991.24	0.20
1991.32	-0.23
1991.40	0.47
1991.48	0.69
1991.56	0.85
1991.64	0.30
1991.72	0.23
1991.80	0.65
1991.88	1.03
1991.96	1.12
1992.08	1.17
1992.16	1.02
1992.24	1.10
1992.32	1.48
1992.40	1.66
1992.48	0.58
1992.56	0.02
1992.64	-0.23
1992.72	-0.32
1992.80	-0.16
1992.88	-0.12
1992.96	-0.15
1993.08	0.07
1993.16	0.31
1993.24	0.47
1993.32	1.03
1993.40	1.22
1993.48	0.76
1993.56	0.23
1993.64	0.14
1993.72	0.10
1993.80	0.28
1993.88	0.08
1993.96	0.03
1994.08	-0.00
1994.16	-0.25
1994.24	-0.58
1994.32	-0.69
1994.40	-0.46
1994.48	-0.20
1994.56	-0.46
1994.64	-0.45
1994.72	-0.02
1994.80	0.63
1994.88	0.81
1994.96	0.91
