date_time	NINO34
1949.544	-0.296
1949.572	-0.277
1949.599	-0.257
1949.626	-0.244
1949.654	-0.276
1949.681	-0.309
1949.708	-0.348
1949.736	-0.492
1949.763	-0.637
1949.791	-0.781
1949.818	-0.932
1949.845	-1.082
1949.873	-1.233
1949.900	-1.237
1949.927	-1.234
1949.955	-1.230
1949.982	-1.175
1956.005	-1.109
1956.033	-0.954
1956.060	-0.821
1956.088	-0.701
1956.115	-0.581
1956.142	-0.560
1956.170	-0.590
1956.197	-0.620
1956.225	-0.628
1956.252	-0.625
1956.279	-0.621
1956.307	-0.581
1956.334	-0.519
1956.361	-0.456
1956.389	-0.460
1956.416	-0.513
1956.444	-0.566
1956.471	-0.578
1956.498	-0.555
1956.526	-0.532
1956.553	-0.531
1956.580	-0.554
1956.608	-0.576
1956.635	-0.590
1956.663	-0.590
1956.690	-0.590
1956.717	-0.587
1956.745	-0.577
1956.772	-0.567
1956.799	-0.585
1956.827	-0.668
1956.854	-0.750
1956.882	-0.782
1956.909	-0.677
1956.936	-0.572
1956.964	-0.489
1956.991	-0.486
1968.025	-0.686
1968.052	-0.739
1968.079	-0.766
1968.107	-0.793
1968.134	-0.794
1968.162	-0.751
1968.189	-0.708
1968.216	-0.652
1968.244	-0.577
1968.271	-0.501
1968.298	-0.428
1968.326	-0.359
1968.353	-0.290
1968.381	-0.182
1968.408	0.025
1968.435	0.231
1968.463	0.411
1968.490	0.499
1968.517	0.588
1968.545	0.646
1968.572	0.571
1968.600	0.497
1968.627	0.420
1968.654	0.322
1968.682	0.223
1968.709	0.133
1968.736	0.182
1968.764	0.231
1968.791	0.281
1968.819	0.433
1968.846	0.584
1968.873	0.735
1968.901	0.765
1968.928	0.792
1968.956	0.818
1968.983	0.969
1969.010	1.130
1969.038	1.292
1969.065	1.245
1969.092	1.153
1969.120	1.062
1969.147	0.899
1969.175	0.727
1969.202	0.554
1969.229	0.480
1969.257	0.414
1969.284	0.349
1969.311	0.459
1969.339	0.597
1969.366	0.735
1969.394	0.701
1969.421	0.629
1969.448	0.557
1969.476	0.495
1969.503	0.436
1969.530	0.377
1969.558	0.358
1969.585	0.354
1969.613	0.351
1969.640	0.426
1969.667	0.550
1969.695	0.675
1969.722	0.752
1969.749	0.791
1969.777	0.831
1969.804	0.848
1969.832	0.845
1969.859	0.842
1969.886	0.853
1969.914	0.883
1969.941	0.912
1969.969	0.935
1969.996	0.948
1976.019	-1.776
1976.047	-1.791
1976.074	-1.600
1976.101	-1.410
1976.129	-1.213
1976.156	-0.983
1976.183	-0.752
1976.211	-0.545
1976.238	-0.457
1976.266	-0.368
1976.293	-0.290
1976.320	-0.294
1976.348	-0.297
1976.375	-0.291
1976.402	-0.180
1976.430	-0.068
1976.457	0.040
1976.485	0.047
1976.512	0.053
1976.539	0.060
1976.567	0.207
1976.594	0.356
1976.621	0.505
1976.649	0.623
1976.676	0.738
1976.704	0.853
1976.731	0.876
1976.758	0.882
1976.786	0.889
1976.813	0.871
1976.841	0.848
1976.868	0.825
1976.895	0.797
1976.923	0.768
1976.950	0.738
1976.977	0.777
1977.005	0.841
1977.032	0.906
1977.060	0.822
1977.087	0.649
1977.114	0.477
1977.142	0.384
1977.169	0.329
1977.196	0.275
1977.224	0.177
1977.251	0.063
1977.279	-0.052
1977.306	0.024
1977.333	0.194
1977.361	0.365
1977.388	0.474
1977.415	0.546
1977.443	0.619
1977.470	0.617
1977.498	0.558
1977.525	0.499
1977.552	0.427
1977.580	0.343
1977.607	0.259
1977.634	0.223
1977.662	0.256
1977.689	0.289
1977.717	0.346
1977.744	0.448
1977.771	0.549
1977.799	0.662
1977.826	0.800
1977.854	0.937
1977.881	1.039
1977.908	1.036
1977.936	1.033
1977.963	1.020
1977.990	0.968
1978.018	0.916
1978.045	0.856
1978.073	0.714
1978.100	0.571
1978.127	0.441
1978.155	0.376
1978.182	0.312
1978.209	0.224
1978.237	0.037
1978.264	-0.150
1978.292	-0.303
1978.319	-0.250
1978.346	-0.198
1978.374	-0.157
1978.401	-0.229
1978.428	-0.301
1978.456	-0.369
1978.483	-0.350
1978.511	-0.330
1978.538	-0.310
1978.565	-0.364
1978.593	-0.419
1978.620	-0.474
1978.648	-0.439
1978.675	-0.394
1978.702	-0.348
1978.730	-0.433
1978.757	-0.544
1978.784	-0.656
1978.812	-0.529
1978.839	-0.336
1978.867	-0.143
1978.894	-0.078
1978.921	-0.062
1978.949	-0.045
1978.976	-0.005
1979.003	0.046
1979.031	0.098
1979.058	0.128
1979.086	0.141
1979.113	0.155
1979.140	0.181
1979.168	0.215
1979.195	0.249
1979.222	0.293
1979.250	0.342
1979.277	0.391
1979.305	0.382
1979.332	0.336
1979.359	0.290
1979.387	0.264
1979.414	0.255
1979.441	0.245
1979.469	0.168
1979.496	0.027
1979.524	-0.114
1979.551	-0.154
1979.578	-0.077
1979.606	0.000
1979.633	0.118
1979.661	0.308
1979.688	0.498
1979.715	0.584
1979.743	0.433
1979.770	0.282
1979.797	0.173
1979.825	0.182
1979.852	0.192
1979.880	0.231
1979.907	0.381
1979.934	0.532
1979.962	0.654
1979.989	0.612
1986.012	-0.666
1986.040	-0.770
1986.067	-0.780
1986.094	-0.780
1986.122	-0.780
1986.149	-0.713
1986.177	-0.642
1986.204	-0.570
1986.231	-0.495
1986.259	-0.420
1986.286	-0.344
1986.313	-0.343
1986.341	-0.346
1986.368	-0.350
1986.396	-0.236
1986.423	-0.108
1986.450	0.019
1986.478	0.070
1986.505	0.106
1986.533	0.142
1986.560	0.196
1986.587	0.254
1986.615	0.312
1986.642	0.393
1986.669	0.485
1986.697	0.576
1986.724	0.666
1986.752	0.754
1986.779	0.843
1986.806	0.918
1986.834	0.984
1986.861	1.049
1986.888	1.089
1986.916	1.105
1986.943	1.121
1986.971	1.162
1986.998	1.230
1987.025	1.298
1987.053	1.335
1987.080	1.321
1987.107	1.308
1987.135	1.293
1987.162	1.276
1987.190	1.259
1987.217	1.215
1987.244	1.139
1987.272	1.064
1987.299	1.004
1987.326	0.964
1987.354	0.925
1987.381	0.958
1987.409	1.115
1987.436	1.272
1987.463	1.401
1987.491	1.466
1987.518	1.532
1987.546	1.595
1987.573	1.653
1987.600	1.711
1987.628	1.755
1987.655	1.726
1987.682	1.696
1987.710	1.660
1987.737	1.565
1987.765	1.470
1987.792	1.379
1987.819	1.366
1987.847	1.353
1987.874	1.340
1987.901	1.238
1987.929	1.137
1987.956	1.035
1987.984	0.944
1988.011	0.854
1988.038	0.763
1988.066	0.679
1988.093	0.595
1988.120	0.512
1988.148	0.382
1988.175	0.245
1988.203	0.108
1988.230	-0.066
1988.257	-0.247
1988.285	-0.428
1988.312	-0.706
1988.339	-1.005
1988.367	-1.304
1988.394	-1.413
1988.422	-1.469
1988.449	-1.525
1988.476	-1.567
1988.504	-1.603
1988.531	-1.639
1988.559	-1.634
1988.586	-1.612
1988.613	-1.589
1988.641	-1.523
1988.668	-1.428
1988.695	-1.333
1988.723	-1.432
1988.750	-1.688
1988.778	-1.944
1988.805	-2.122
1988.832	-2.224
1988.860	-2.326
1988.887	-2.359
1988.914	-2.313
1988.942	-2.267
1988.969	-2.213
1988.997	-2.148
1989.024	-2.084
1989.051	-1.969
1989.079	-1.748
1989.106	-1.528
1989.133	-1.381
1989.161	-1.357
1989.188	-1.334
1989.216	-1.288
1989.243	-1.213
1989.270	-1.138
1989.298	-1.050
1989.325	-0.942
1989.352	-0.834
1989.380	-0.751
1989.407	-0.721
1989.435	-0.692
1989.462	-0.654
1989.489	-0.591
1989.517	-0.529
1989.544	-0.481
1989.572	-0.484
1989.599	-0.487
1989.626	-0.489
1989.654	-0.483
1989.681	-0.476
1989.708	-0.469
1989.736	-0.456
1989.763	-0.443
1989.791	-0.430
1989.818	-0.423
1989.845	-0.417
1989.873	-0.410
1989.900	-0.341
1989.927	-0.269
1989.955	-0.197
1989.982	-0.141
