date_time	ST	wind_burst
1969.08	0.33	6.82
1969.16	0.32	12.30
1969.24	0.32	-7.87
1969.32	0.33	-7.08
1969.40	0.34	-4.77
1969.48	0.34	-0.90
1969.56	0.35	1.36
1969.64	0.35	-7.64
1969.72	0.34	2.29
1969.80	0.34	0.16
1969.88	0.34	0.46
1969.96	0.34	-5.83
1970.08	0.34	8.91
1970.16	0.34	4.22
1970.24	0.35	-10.96
1970.32	0.35	-10.10
1970.40	0.35	3.05
1970.48	0.35	-1.29
1970.56	0.34	-4.00
1970.64	0.33	-13.97
1970.72	0.32	-10.99
1970.80	0.30	-10.55
1970.88	0.28	-0.07
1970.96	0.26	-8.83
1971.08	0.23	11.77
1971.16	0.20	-3.87
1971.24	0.18	3.16
1971.32	0.18	4.84
1971.40	0.16	-3.75
1971.48	0.15	5.17
1971.56	0.15	1.51
1971.64	0.14	-1.52
1971.72	0.13	-4.47
1971.80	0.12	-9.40
1971.88	0.12	0.72
1971.96	0.12	0.95
1986.08	0.25	-1.32
1986.16	0.26	6.97
1986.24	0.27	0.49
1986.32	0.27	2.21
1986.40	0.27	6.53
1986.48	0.27	-0.25
1986.56	0.26	4.36
1986.64	0.25	7.55
1986.72	0.24	10.90
1986.80	0.23	-6.98
1986.88	0.22	5.34
1986.96	0.20	4.99
1987.08	0.19	-9.06
1987.16	0.18	2.92
1987.24	0.16	-9.49
1987.32	0.16	1.16
1987.40	0.15	9.11
1987.48	0.15	3.94
1987.56	0.14	2.18
1987.64	0.13	3.48
1987.72	0.11	13.60
1987.80	0.10	3.17
1987.88	0.09	-2.10
1987.96	0.07	-1.74
1988.08	0.08	-3.76
1988.16	0.08	-1.15
1988.24	0.07	-8.60
1988.32	0.06	-4.44
1988.40	0.05	-9.82
1988.48	0.04	-5.70
1988.56	0.02	-6.80
1988.64	-0.01	-16.14
1988.72	-0.02	-11.65
1988.80	-0.05	-9.97
1988.88	-0.06	-15.15
1988.96	-0.08	-3.05
1989.08	-0.09	-16.53
1989.16	-0.09	5.00
1989.24	-0.10	3.70
1989.32	-0.11	-0.44
1989.40	-0.12	-6.99
1989.48	-0.12	-5.67
1989.56	-0.12	-10.31
1989.64	-0.12	-7.46
1989.72	-0.12	-11.27
1989.80	-0.12	-1.96
1989.88	-0.12	1.29
1989.96	-0.13	-2.72
1990.08	-0.13	-7.16
1990.16	-0.13	5.27
1990.24	-0.14	4.99
1990.32	-0.14	1.22
1990.40	-0.15	-10.53
1990.48	-0.15	-5.51
1990.56	-0.15	-5.32
1990.64	-0.16	-9.07
1990.72	-0.16	-7.30
1990.80	-0.16	-7.87
1990.88	-0.17	3.39
1990.96	-0.17	-1.51
1991.08	-0.17	-7.44
1991.16	-0.16	5.47
1991.24	-0.17	-8.11
1991.32	-0.18	-7.34
1991.40	-0.17	-11.05
1991.48	-0.16	-2.16
1991.56	-0.15	1.44
1991.64	-0.15	2.87
1991.72	-0.16	1.31
1991.80	-0.17	2.11
1991.88	-0.17	5.23
1991.96	-0.19	10.12
1992.08	-0.21	1.26
1992.16	-0.23	4.01
1992.24	-0.26	-5.99
1992.32	-0.29	5.77
1992.40	-0.31	5.53
1992.48	-0.34	-3.98
1992.56	-0.37	-0.43
1992.64	-0.38	-2.47
1992.72	-0.35	3.90
1992.80	-0.32	2.16
1992.88	-0.30	3.49
1992.96	-0.26	7.70
1993.08	-0.23	-0.50
1993.16	-0.19	13.32
1993.24	-0.15	5.42
1993.32	-0.11	0.53
1993.40	-0.08	-0.93
1993.48	-0.08	-0.73
1993.56	-0.06	-2.85
1993.64	-0.02	-0.08
1993.72	-0.00	-3.46
1993.80	-0.00	0.97
1993.88	0.01	-4.70
1993.96	0.02	-9.13
1994.08	0.02	0.30
1994.16	0.01	8.57
1994.24	-0.00	-4.58
1994.32	-0.01	2.87
1994.40	-0.02	-3.41
1994.48	-0.03	3.12
1994.56	-0.03	5.02
1994.64	-0.04	5.18
1994.72	-0.03	8.71
1994.80	-0.03	9.07
1994.88	-0.03	9.12
1994.96	-0.04	3.35
