

=== Predictions on test data ===

 inst#     actual  predicted error prediction
     1       2:no       2:no       0.925 
     2       2:no       2:no       0.925 
     3       2:no       2:no       0.924 
     4       2:no       2:no       0.924 
     5       2:no       2:no       0.924 
     6       2:no       2:no       0.924 
     7       2:no       2:no       0.925 
     8       2:no       2:no       0.924 
     9       2:no       2:no       0.924 
    10       2:no       2:no       0.924 
    11       2:no       2:no       0.925 
    12       2:no       2:no       0.924 
    13       2:no       2:no       0.924 
    14       2:no       2:no       0.924 
    15       2:no       2:no       0.924 
    16       2:no       2:no       0.924 
    17       2:no       2:no       0.924 
    18       2:no       2:no       0.924 
    19       2:no       2:no       0.924 
    20       2:no       2:no       0.924 
    21       2:no       2:no       0.924 
    22       2:no       2:no       0.924 
    23       2:no       2:no       0.924 
    24       2:no       2:no       0.924 
    25       2:no       2:no       0.924 
    26       2:no       2:no       0.924 
    27       2:no       2:no       0.924 
    28       2:no       2:no       0.924 
    29       2:no       2:no       0.925 
    30       2:no       2:no       0.924 
    31       2:no       2:no       0.924 
    32       2:no       2:no       0.924 
    33       2:no       2:no       0.925 
    34       2:no       2:no       0.925 
    35       2:no       2:no       0.924 
    36       2:no       2:no       0.924 
    37       2:no       2:no       0.924 
    38       2:no       2:no       0.924 
    39       2:no       2:no       0.924 
    40       2:no       2:no       0.924 
    41       2:no       2:no       0.924 
    42       2:no       2:no       0.924 
    43       2:no       2:no       0.924 
    44       2:no       2:no       0.924 
    45       2:no       2:no       0.924 
    46       2:no       2:no       0.924 
    47       2:no       2:no       0.924 
    48       2:no       2:no       0.924 
    49       2:no       2:no       0.924 
    50       2:no       2:no       0.924 
    51       2:no       2:no       0.924 
    52       2:no       2:no       0.924 
    53       2:no       2:no       0.924 
    54       2:no       2:no       0.924 
    55       2:no       2:no       0.924 
    56       2:no       2:no       0.925 
    57       2:no       2:no       0.925 
    58       2:no       2:no       0.925 
    59       2:no       2:no       0.925 
    60       2:no       2:no       0.925 
    61       2:no       2:no       0.925 
    62       2:no       2:no       0.925 
    63       2:no       2:no       0.925 
    64       2:no       2:no       0.925 
    65       2:no       2:no       0.925 
    66       2:no       2:no       0.925 
    67       2:no       2:no       0.925 
    68       2:no       2:no       0.925 
    69       2:no       2:no       0.925 
    70       2:no       2:no       0.925 
    71       2:no       2:no       0.925 
    72       2:no       2:no       0.925 
    73       2:no       2:no       0.925 
    74       2:no       2:no       0.925 
    75       2:no       2:no       0.925 
    76       2:no       2:no       0.925 
    77       2:no       2:no       0.925 
    78       2:no       2:no       0.925 
    79      1:yes       2:no   +   0.925 
    80      1:yes       2:no   +   0.925 
    81      1:yes       2:no   +   0.925 
    82      1:yes       2:no   +   0.925 
    83      1:yes       2:no   +   0.925 
    84      1:yes       2:no   +   0.925 
    85      1:yes       2:no   +   0.925 
    86      1:yes       2:no   +   0.925 
    87      1:yes       2:no   +   0.925 
    88      1:yes       2:no   +   0.925 
    89      1:yes       2:no   +   0.925 
    90      1:yes       2:no   +   0.925 
    91      1:yes       2:no   +   0.925 
    92      1:yes       2:no   +   0.924 
    93      1:yes       2:no   +   0.925 
    94      1:yes       2:no   +   0.925 
    95      1:yes       2:no   +   0.924 
    96      1:yes       2:no   +   0.924 
    97       2:no       2:no       0.924 
    98       2:no       2:no       0.924 
    99       2:no       2:no       0.924 
   100       2:no       2:no       0.924 
   101       2:no       2:no       0.924 
   102       2:no       2:no       0.924 
