% __
@RELATION __

@ATTRIBUTE NINO34 REAL
@ATTRIBUTE MAX_CORR_1 REAL
@ATTRIBUTE MAX_CORR_2 REAL
@ATTRIBUTE MIN_CORR_1 REAL
@ATTRIBUTE MIN_CORR_2 REAL
@ATTRIBUTE MAX_DEL_1 REAL
@ATTRIBUTE MAX_DEL_2 REAL
@ATTRIBUTE MIN_DEL_1 REAL
@ATTRIBUTE MIN_DEL_2 REAL
@ATTRIBUTE MEAN REAL
@ATTRIBUTE STD REAL
@ATTRIBUTE MAX_WEI_1 REAL
@ATTRIBUTE MAX_WEI_2 REAL
@ATTRIBUTE MIN_WEI_1 REAL
@ATTRIBUTE MIN_WEI_2 REAL
@ATTRIBUTE NINO34_tau_class {yes, no}

@DATA
-1.109,2.79253,1.81075,2.47124,1.78729,-1.5946,-4.56431,-16.52398,16.72422,-0.00243,0.11173,0.01281,0.00926,0.01255,0.00947,no
-0.954,2.80214,1.82761,2.49564,1.80492,0.17125,-4.67024,-16.05006,15.29946,-0.00318,0.11156,0.01301,0.00936,0.01262,0.00986,no
-0.821,2.82175,1.81115,2.50787,1.816,-0.24167,-6.06852,-17.23184,15.22843,-0.0032,0.11077,0.01316,0.00924,0.0122,0.00927,no
-0.701,2.82695,1.81784,2.49547,1.81548,0.02418,-10.02849,-18.70576,16.66051,-0.00303,0.11084,0.01282,0.00935,0.01214,0.0092,no
-0.581,2.84146,1.82632,2.49013,1.79506,-4.6256,-5.36888,-18.65459,19.61968,-0.00173,0.10908,0.01277,0.00946,0.01261,0.00918,no
-0.56,2.87384,1.76837,2.46998,1.74515,-3.99368,-4.07965,-20.05558,20.20175,-8e-05,0.10733,0.01284,0.0089,0.01258,0.00891,no
-0.59,2.88036,1.75099,2.4611,1.7321,-4.8758,-5.11447,-21.94352,23.64597,0.00011,0.10681,0.01264,0.00956,0.01252,0.0088,no
-0.62,2.87232,1.75416,2.46797,1.75248,-0.52157,-7.29444,-21.53551,23.24639,-0.00016,0.10766,0.01269,0.00967,0.01292,0.00949,no
-0.628,2.8511,1.76367,2.47999,1.77819,0.3742,-12.13945,-13.84009,18.79856,-0.00035,0.10766,0.01274,0.0095,0.01318,0.00992,no
-0.625,2.8265,1.75966,2.4773,1.7742,0.93379,-13.08056,-13.46699,16.94773,-0.00018,0.10828,0.01268,0.01014,0.01295,0.00957,no
-0.621,2.82679,1.7642,2.48153,1.76769,-0.40078,-8.1244,-14.36858,16.85945,-0.00024,0.10783,0.01265,0.01055,0.01299,0.00996,no
-0.581,2.84531,1.76458,2.47759,1.76786,-0.05478,-6.09019,-13.26164,15.46579,-0.0005,0.10713,0.01294,0.01001,0.01296,0.00945,no
-0.519,2.80807,1.73052,2.46062,1.72498,-2.53421,-1.38975,-9.90299,14.44553,-0.00027,0.10892,0.01288,0.00912,0.0128,0.00926,no
